trade_date,stock_code,stock_name,close,industry,price_change_rate,max_profit,max_loss,MA_all_cv,all_cv_vs_15,all_cv_vs_15_ema_3d,all_cv_count,all_cv_count_5D_max,all_cv_count_5D_min,MA_most_cv,most_cv_vs_15,most_cv_vs_15_ema_3d,most_cv_count,most_cv_count_5D_max,most_cv_count_5D_min,MA_alignment,MA_all_ema_3d_cont,MA_most_ema_3d_cont,DIF,dif_close,rate_sum,rate_per_ema_3d,rate_per_ema_count,sum_rate_per_ema_3d
2025-02-21,000058.SZ,深 赛 格,8.03,商品城,-0.25,15.394,10.889,27.19,2.06,2.13,0,0.0,0.0,17.32,1.87,2.02,0,0.0,0.0,0,0,0,0.0087,0.1083,314.45,0.29,0,-11.24
2025-08-20,000061.SZ,农 产 品,6.85,农业综合,1.93,23.066,1.606,12.37,1.32,1.32,0,0.0,0.0,9.27,1.39,1.42,0,0.0,0.0,9,7,7,0.0656,0.9577,487.19,-2.16,-1,16.31
2025-09-02,000061.SZ,农 产 品,7.89,农业综合,-5.51,17.024,4.666,80.87,8.63,7.45,-3,0.0,-3.0,75.57,11.32,9.74,-4,0.0,-4.0,18,16,16,0.4111,5.2104,1372.98,14.32,6,104.21
2025-01-23,000062.SZ,深圳华强,20.76,元器件,-0.86,16.754,2.285,85.97,7.19,7.46,-27,-23.0,-27.0,26.85,3.27,3.64,0,0.0,-42.0,0,0,0,-0.939,-4.5231,280.59,-2.5,-3,-6.96
2025-03-11,000062.SZ,深圳华强,22.23,元器件,-0.76,15.519,7.558,12.49,1.04,1.15,0,0.0,0.0,14.42,1.75,1.93,0,0.0,0.0,0,0,0,-0.1068,-0.4804,253.22,-2.51,-8,-33.19
2025-04-03,000062.SZ,深圳华强,23.81,元器件,3.97,18.292,-2.24,15.37,1.28,1.31,0,0.0,0.0,9.02,1.1,1.11,0,1.0,0.0,0,0,0,0.1066,0.4477,500.09,4.78,3,3.45
2025-04-23,000062.SZ,深圳华强,24.36,元器件,-0.77,17.796,6.268,31.64,2.65,2.85,0,0.0,0.0,29.75,3.62,4.08,0,0.0,-3.0,2,0,0,0.5129,2.1055,464.97,-13.65,-3,-13.0
2025-08-13,000062.SZ,深圳华强,26.87,元器件,-0.33,18.441,14.03,8.24,0.69,0.66,14,14.0,10.0,6.02,0.73,0.81,3,3.0,0.0,0,0,1,0.0849,0.316,528.59,18.67,5,59.43
2025-01-06,000063.SZ,中兴通讯,34.13,通信设备,-2.37,17.122,6.417,66.01,4.28,4.76,-8,-4.0,-8.0,54.44,6.12,7.12,-10,-6.0,-10.0,0,0,0,1.5153,4.4398,494.14,-3.1,-8,-20.35
2025-08-13,000063.SZ,中兴通讯,35.5,通信设备,2.75,22.264,8.589,19.94,1.29,1.28,0,0.0,0.0,7.18,0.81,0.85,4,4.0,0.0,0,1,1,0.41,1.1549,422.99,14.61,2,-3.05
2025-02-11,000065.SZ,北方国际,9.64,建筑工程,-0.1,21.775,0.619,28.47,1.75,1.86,0,0.0,0.0,9.5,0.93,0.97,2,2.0,0.0,0,0,0,-0.0406,-0.4212,385.31,7.58,3,15.29
2025-06-19,000065.SZ,北方国际,9.54,建筑工程,-2.45,20.679,10.905,24.11,1.48,1.35,0,0.0,0.0,23.87,2.34,2.14,0,0.0,0.0,0,-9,-9,-0.1999,-2.0954,389.41,7.42,8,36.69
2025-01-23,000066.SZ,中国长城,13.3,IT设备,-0.75,18.015,4.632,82.57,4.49,4.4,-12,-8.0,-12.0,31.3,2.77,2.99,0,0.0,0.0,-2,0,-1,-0.5853,-4.4008,262.47,-5.86,-3,-10.63
2025-02-19,000066.SZ,中国长城,15.72,IT设备,0.0,15.244,9.642,52.09,2.83,2.85,0,0.0,0.0,59.51,5.26,5.09,-4,0.0,-4.0,0,0,5,0.4457,2.8352,593.47,-0.89,0,6.69
2025-03-31,000066.SZ,中国长城,14.08,IT设备,-0.21,17.283,-3.058,41.98,2.28,2.21,0,0.0,0.0,48.49,4.29,4.1,0,0.0,0.0,0,-6,-6,-0.4567,-3.2436,190.79,-9.27,-2,0.66
2025-08-06,000066.SZ,中国长城,15.32,IT设备,1.59,18.342,3.851,12.71,0.69,0.67,51,51.0,47.0,10.42,0.92,0.93,3,3.0,0.0,0,1,1,0.1462,0.9543,451.8,2.61,1,0.62
2025-08-01,000070.SZ,特发信息,7.4,通信设备,-6.09,21.314,14.745,25.55,1.28,1.36,0,0.0,0.0,5.75,0.48,0.56,5,5.0,1.0,0,0,0,0.0414,0.5595,696.71,25.94,2,54.43
2025-08-11,000070.SZ,特发信息,9.05,通信设备,9.96,17.731,10.242,40.5,2.03,1.68,0,0.0,0.0,28.43,2.35,1.6,0,9.0,0.0,0,3,3,0.2304,2.5459,768.93,6.1,1,18.34
2025-08-20,000070.SZ,特发信息,9.9,通信设备,-1.1,27.387,21.301,119.36,5.98,5.8,-6,-2.0,-6.0,105.07,8.7,8.52,-6,-2.0,-6.0,6,10,10,0.7327,7.401,811.53,-6.73,-2,-1.6
2025-05-09,000088.SZ,盐 田 港,4.44,港口,-0.45,15.487,7.743,11.08,1.68,1.68,0,0.0,0.0,10.03,2.26,2.29,0,0.0,0.0,-4,-10,-10,-0.0374,-0.8423,292.8,-0.66,0,13.94
2025-02-10,000096.SZ,广聚能源,12.11,石油贸易,1.68,25.103,3.363,18.55,1.88,2.05,0,0.0,0.0,5.57,0.86,1.13,1,1.0,0.0,0,0,0,-0.0679,-0.5607,409.1,-0.09,0,7.63
2025-02-19,000096.SZ,广聚能源,14.71,石油贸易,-3.54,37.083,13.288,50.96,5.15,4.04,-1,0.0,-1.0,56.01,8.63,6.74,-2,0.0,-2.0,0,3,4,0.5476,3.7226,473.68,13.67,1,7.57
2025-01-24,000156.SZ,华数传媒,6.98,影视音像,2.65,17.756,4.119,31.74,2.69,2.9,0,0.0,0.0,21.6,3.06,3.61,0,0.0,-13.0,0,0,0,-0.1245,-1.7837,260.84,-1.35,-4,-12.85
2025-02-05,000156.SZ,华数传媒,7.09,影视音像,0.71,28.373,15.299,27.24,2.31,2.49,0,0.0,0.0,14.95,2.12,2.56,0,0.0,0.0,0,0,0,-0.07,-0.9873,335.56,9.32,2,2.49
2025-03-04,000156.SZ,华数传媒,7.96,影视音像,2.58,16.186,1.506,35.5,3.01,3.34,0,0.0,-13.0,26.61,3.77,4.46,0,0.0,-14.0,0,0,0,0.164,2.0603,245.88,-12.29,-9,-72.29
2025-01-22,000158.SZ,常山北明,18.88,软件服务,-2.63,21.848,4.946,114.14,5.54,5.64,-15,-11.0,-15.0,37.41,2.78,3.13,0,0.0,0.0,0,0,0,-1.0526,-5.5752,303.58,-12.41,-1,-1.6
