trade_date,stock_code,stock_name,close,industry,price_change_rate,max_profit,max_loss,MA_all_cv,all_cv_vs_15,all_cv_vs_15_ema_3d,all_cv_count,all_cv_count_5D_max,all_cv_count_5D_min,MA_most_cv,most_cv_vs_15,most_cv_vs_15_ema_3d,most_cv_count,most_cv_count_5D_max,most_cv_count_5D_min,MA_alignment,MA_all_ema_3d_cont,MA_most_ema_3d_cont,DIF,dif_close,rate_sum,rate_per_ema_3d,rate_per_ema_count,sum_rate_per_ema_3d
2025-04-14,000019.SZ,深粮控股,7.05,农业综合,4.14,-6.775,-8.672,36.44,3.94,3.53,0,0.0,0.0,33.87,5.71,5.08,-1,0.0,-1.0,6,6,7,0.1594,2.261,1242.73,1.99,7,91.53
2025-03-17,000020.SZ,深华发Ａ,12.99,元器件,1.09,-3.435,-7.099,8.19,0.62,0.78,2,2.0,0.0,8.95,1.06,1.28,0,0.0,0.0,0,0,0,-0.0616,-0.4742,387.9,8.84,4,17.79
2025-03-27,000020.SZ,深华发Ａ,12.35,元器件,-0.24,0.659,-9.885,13.3,1.01,0.84,0,9.0,0.0,14.89,1.77,1.47,0,5.0,0.0,0,-4,-4,-0.1358,-1.0996,375.88,1.5,2,-0.11
2025-06-17,000020.SZ,深华发Ａ,13.78,元器件,9.98,-7.52,-8.443,26.65,2.02,1.8,0,0.0,0.0,18.37,2.18,1.98,0,0.0,0.0,8,1,1,0.2712,1.9681,612.27,-10.62,-1,51.64
2025-03-17,000021.SZ,深科技,20.27,元器件,1.96,-5.384,-6.706,14.71,0.93,0.95,5,5.0,1.0,8.72,0.84,0.92,1,4.0,0.0,0,0,0,0.0377,0.186,309.53,2.44,1,-16.83
2025-03-27,000021.SZ,深科技,19.51,元器件,1.09,-2.121,-12.672,14.69,0.93,0.91,13,13.0,9.0,15.78,1.53,1.41,0,6.0,0.0,0,-3,-5,-0.1495,-0.7663,216.19,-4.13,-4,-28.99
2025-08-27,000021.SZ,深科技,21.2,元器件,-2.62,-5.48,-12.138,51.02,3.21,3.08,0,0.0,0.0,41.61,4.03,3.87,0,0.0,0.0,11,12,12,0.7462,3.5198,798.85,-1.32,-2,18.42
2025-03-28,000025.SZ,特  力Ａ,16.31,综合类,-2.22,1.505,-15.663,7.85,0.79,0.84,4,4.0,0.0,6.19,0.94,1.02,1,2.0,0.0,0,0,0,0.0424,0.26,331.98,-9.49,-6,-44.57
2025-04-16,000025.SZ,特  力Ａ,17.41,综合类,9.98,0.157,-10.287,9.89,1.0,1.61,1,1.0,0.0,10.87,1.65,2.71,0,0.0,0.0,0,0,0,-0.0554,-0.3182,395.44,-6.16,-6,-64.79
2025-06-12,000025.SZ,特  力Ａ,17.93,综合类,-0.55,-3.685,-7.426,17.55,1.77,1.92,0,0.0,0.0,12.02,1.83,2.09,0,0.0,0.0,0,0,0,0.1907,1.0636,247.59,-10.0,-6,-35.09
2025-03-27,000026.SZ,飞亚达,10.84,服饰,-1.19,0.186,-10.615,27.64,1.95,1.99,0,0.0,0.0,13.48,1.57,1.73,0,0.0,0.0,0,0,0,0.1795,1.6559,342.33,-11.39,-4,-40.49
2025-05-09,000026.SZ,飞亚达,11.29,服饰,10.04,5.085,-7.373,12.28,0.87,0.99,1,1.0,0.0,11.55,1.34,1.35,0,0.0,0.0,0,0,0,0.0399,0.3534,547.04,29.99,6,43.2
2025-05-27,000026.SZ,飞亚达,13.77,服饰,3.85,2.58,-7.113,79.33,5.6,5.34,-5,-1.0,-5.0,75.02,8.72,8.49,-10,-6.0,-10.0,3,12,12,0.7645,5.5519,607.16,1.36,1,-33.14
2025-06-05,000026.SZ,飞亚达,13.32,服饰,-10.0,-4.25,-8.114,103.19,7.29,7.39,-11,-7.0,-11.0,84.36,9.81,10.29,-16,-12.0,-16.0,9,18,18,0.9789,7.3491,322.94,-18.18,-3,-40.3
2025-07-02,000026.SZ,飞亚达,18.16,服饰,9.99,-10.798,-12.34,102.32,7.23,5.75,-2,0.0,-2.0,86.44,10.05,7.51,-2,0.0,-2.0,0,3,3,0.9552,5.2599,896.05,20.56,8,105.27
2025-07-28,000026.SZ,飞亚达,17.42,服饰,-0.11,-5.145,-7.998,92.25,6.52,6.79,-20,-16.0,-20.0,50.94,5.92,6.52,-20,-16.0,-20.0,6,0,0,0.9221,5.2933,298.23,-9.3,-3,-12.06
2025-08-11,000026.SZ,飞亚达,19.49,服饰,9.99,-6.763,-11.427,66.55,4.7,4.63,-30,-26.0,-30.0,16.91,1.97,1.6,0,2.0,0.0,3,3,3,0.7036,3.6101,468.92,4.57,7,47.16
2025-08-20,000026.SZ,飞亚达,19.12,服饰,0.68,0.633,-7.327,81.05,5.73,6.06,-37,-33.0,-37.0,43.38,5.04,5.71,-6,-2.0,-6.0,0,0,0,0.9113,4.7662,404.52,-13.26,-2,-9.31
2025-08-29,000026.SZ,飞亚达,17.47,服饰,-0.63,-4.105,-7.583,53.49,3.78,4.1,0,0.0,-42.0,14.12,1.64,1.97,0,0.0,0.0,0,0,0,0.2535,1.4511,281.44,0.2,0,-17.79
2025-03-27,000027.SZ,深圳能源,6.22,火力发电,-1.11,0.644,-6.602,11.52,1.44,1.37,0,11.0,0.0,10.71,2.08,2.03,0,0.0,0.0,4,0,11,0.0508,0.8167,473.39,2.75,3,1.27
2025-08-25,000027.SZ,深圳能源,6.97,火力发电,0.58,-6.099,-7.376,20.54,2.56,2.5,0,0.0,0.0,15.01,2.92,2.84,0,0.0,0.0,7,9,9,0.0972,1.3945,400.81,-9.87,-2,-9.61
2025-03-27,000028.SZ,国药一致,25.56,医药商业,0.12,0.355,-6.588,8.6,0.89,0.95,3,3.0,0.0,4.66,0.76,0.73,5,5.0,1.0,0,-1,-1,-0.0754,-0.295,312.94,-4.68,-5,-26.7
2025-03-27,000029.SZ,深深房Ａ,15.38,区域地产,1.85,-3.756,-12.565,7.1,0.7,0.77,3,3.0,0.0,6.72,0.8,0.97,2,2.0,0.0,0,0,0,0.0119,0.0774,522.31,12.85,4,59.82
2025-07-09,000029.SZ,深深房Ａ,18.66,区域地产,1.14,-3.653,-7.988,34.33,3.37,3.63,0,0.0,0.0,19.12,2.28,2.32,0,0.0,0.0,0,0,0,-0.0234,-0.1254,425.12,12.95,2,17.14
2025-08-25,000029.SZ,深深房Ａ,30.07,区域地产,9.27,-13.362,-15.054,115.23,11.31,10.21,-7,-3.0,-7.0,104.53,12.47,11.37,-9,-5.0,-9.0,13,16,16,2.183,7.2597,494.78,0.84,0,-9.58
2025-03-27,000030.SZ,富奥股份,5.79,汽车配件,-1.7,-0.694,-12.326,39.4,2.79,2.88,0,0.0,0.0,19.36,2.1,2.34,0,0.0,0.0,7,0,0,0.1335,2.3057,415.42,-12.35,-2,6.73
2025-08-22,000030.SZ,富奥股份,6.19,汽车配件,0.49,-4.072,-6.678,13.44,0.95,0.92,7,7.0,3.0,5.95,0.64,0.66,6,6.0,2.0,1,3,3,0.0532,0.8595,569.16,0.95,0,24.99
2025-01-15,000031.SZ,大悦城,2.84,全国地产,-0.35,-1.394,-6.62,65.29,5.65,5.61,-8,-4.0,-8.0,62.82,8.95,9.16,-11,-7.0,-11.0,-2,-11,-14,-0.1438,-5.0634,210.3,1.09,1,-15.31
2025-03-27,000031.SZ,大悦城,2.71,全国地产,0.37,-1.124,-9.738,12.7,1.1,1.14,0,0.0,0.0,6.25,0.89,0.73,4,4.0,0.0,0,0,0,-0.0184,-0.679,358.41,-2.19,-1,3.41
2025-04-21,000031.SZ,大悦城,2.74,全国地产,0.0,-2.5,-8.214,12.2,1.06,1.27,0,0.0,0.0,11.63,1.66,1.96,0,0.0,0.0,0,0,0,0.0011,0.0401,743.17,1.82,11,42.99
2025-07-23,000031.SZ,大悦城,3.16,全国地产,2.27,-3.659,-7.927,49.78,4.31,4.1,-2,0.0,-2.0,42.58,6.07,5.88,-8,-4.0,-8.0,10,3,3,0.1122,3.5506,582.44,7.94,1,-25.09
